ocdid,levels,recursive,roles,fields
ocd-division/country:us/state:wa/cd:3,,,legislatorLowerBody,
ocd-division/country:us/state:wa/cd:4,,,legislatorLowerBody,
ocd-division/country:us/state:wa/cd:5,,,legislatorLowerBody,
ocd-division/country:us/state:wa/cd:6,,,legislatorLowerBody,
ocd-division/country:us/state:wa/cd:7,,,legislatorLowerBody,
ocd-division/country:us/state:wa/cd:8,,,legislatorLowerBody,
ocd-division/country:us/state:wa/cd:9,,,legislatorLowerBody,
ocd-division/country:us/state:wa/cd:10,,,legislatorLowerBody,
ocd-division/country:us/state:wv/cd:1,,,legislatorLowerBody,
ocd-division/country:us/state:wv/cd:2,,,legislatorLowerBody,
